courses_list,occupation
"['Advanced Information Retrieval', 'Algorithmic Game Theory', 'Algorithms', 'Data Mining', 'Data Mining Principles', 'Data Structure and Programming', 'Digital Image Processing', 'Distributed Systems', 'Econometrics (I)', 'Electrical Engineering Lab (Embedded Systems)']",Graduate Student at University of Illinois at Urbana-Champaign
"['Authentication & Authorization', 'Developing Scalable Apps in Python', 'Full Stack Foundations', 'Machine Learning', 'Microprocessors in Electromechanical Systems']",Chief Technology Officer at MetChange
"['Cloud Computing', 'Introduction to Computer Science', 'Introduction to Machine Learning', 'Java Smart Phone', 'Machine Learning with Large Dataset', 'Speech Processing and Recognition']",Software Engineer at eBay
"['Contextual Design', 'Data Mining & CRM', 'J2EE Web Application Development', 'Java for Application Programmers', 'Law of Computer Technology', 'Negotiation', 'Network Infrastructure and Wireless, PONs', 'Product Manager in IT', 'Requirement Elicitation & Analysis', 'Search Engine Optimization']","User Experience Designer at YinzCam, Inc."
"['Advanced Data Structures with C++', 'Advanced Topics in Software Engineering', 'Computer Architecture', 'Computer Network & Communication', 'Control System', 'Design & Analysis of Algorithm', 'Hardware Description Language& System Simulation', 'Intr/Computer Sci&Obj-Ori:Java', 'Networked Services', 'Princ/Computer Operating System']",Software Engineer at Twitter
"['Advanced Mathematics I & II', 'Algorithms I & II', 'Big Data and Internet Information Mining', 'C Programming Language', 'C++ Programming', 'Compilers', 'Computer Network', 'Database Technologies and Applications', 'Embedded System Design', 'JAVA Programming Language']",Software Engineer Intern @ Facebook. MS CS student @NC State
"['Applied Data Structure & Algorithm', 'Applied Machine Learning', 'Communication Theory I', 'Computer Organization & Programming', 'Computing Principles Mobile & Embedded Systems', 'Database Management Systems', 'Engineering Programning:C++/Java', 'Linear System Theory', 'Probabilities & Stochastic Proc I', 'Real-Time and Embedded Systems']",Software Development Engineer at Amazon
"['Cloud Computing', 'Computer Vision', 'Distributed System', 'Introduction to Computer System', 'Java Smartphone Development', 'Machine Learning', 'Practical Data Science', 'Search Engine', 'Secure Software System']",Teaching Assistant in Carnegie Mellon University
"['Algorithms and Data Structures', 'Big Data Systems', 'Competitive Engineering,', 'Intelligent Information System', 'Introduction to Computer Systems', 'Machine Learing']",Software Engineer at Google
"['Advanced Project in Computer Science', 'Algorithm', 'Computational Linguistics', 'Data Mining', 'Database', 'English', 'Graphic Models', 'Machine Learning', 'Network Programming', 'Network Security']",Computer Science Instructor at BitTiger
"['Advanced Computer Architecture', 'Advanced Digital Circuit', 'Current Topics in Computer Science: System Design/Architecture: Customized Computing for Big-Data Applications', 'Design of VLSI Circuits and Systems', 'Digital Design Project Laboratory', 'Digital IC Laboratory', 'Microelectromechanical Systems (MEMS) Device Physics and Design', 'Modeling VLSI Circuit and System', 'Power Electronics Lab', 'Power Electronics Laboratory']",Electrical Engineering Master's Student | Digital IC Design/Verification Engineer
"['Combinatorics Math', 'Compiler Theory', 'Computer Networks', 'Data mining', 'Data structure', 'Database Applications', 'Discrete Mathematics', 'Formal Language and Automata', 'Introduction to Computer Systems', 'J2EE web application development']",Software Engineer at Oracle
"['Algorithms', 'Algorithms in the Real World', 'Computer Vision', 'Design & Engineering of Intelligent Information System', 'Distributed System', 'Intermedia Statistics', 'Introduction to Computer System', 'Introduction to Machine Learning', 'Multimedia Database and Data Mining']",Software Engineer at A9.com
"['C++ Programming', 'Computer Networks and Telecommunications', 'Data-Driven Web Applications', 'Graphic Models', 'Intro to Computer Graphics', 'Introduction to Database Systems', 'Machine Learning', 'Networks', 'Operating Systems', 'Stochastic Systems: Estimation and Control']",Software Engineer at Amazon
"['Contextual Inquiry and Project Management', 'Design of Complex Websites', 'Engineering for Community', 'Graphic Design', 'Information Visualization', 'Introduction to Circuits', 'Introduction to Interaction Design', 'Marketing Research Design and Analysis', 'Musical Acoustics', 'Needs Assessment and Usability Evaluation']",User Experience Designer at Akamai Technologies
"['Especialización en Terapia Psicodramática', 'Programa de Sensibilización hacia las personas con Trastornos Mentales', 'Seminario de Contención en Crisis', 'Taller de cohesión grupal']",Talent Seeker at Scout Technologies
"['Molecular Biology 254A - Concepts in Molecular Biosciences: Structure and Dynamics of Macromolecular Assemblies', 'English as A Second Language 301 - High-Intermediate Writing and Communication for International Graduate Students', 'Microbiology, Immunology, and Molecular Genetics 105 - Biological Microscopy', 'Microbiology, Immunology, and Molecular Genetics C234 - Ethics and Accountability in Biomedical Research', 'Molecular Biology 254B - Concepts in Molecular Biosciences: Dynamic Actin Cytoskeleton: How Actin Assembly and Acto-Myosin Contraction Shapes Cells', 'Molecular Biology 254C - Concepts in Molecular Biosciences: Using Genetics to Characterize Stem Cells in Development and Disease', 'Molecular Biology 254D - Concepts in Molecular Biosciences: Mechanisms of Microbial Pathogenesis', 'Molecular Biology 255 - Scientific Writing', 'Molecular Biology 596 - Directed Individual Studies', 'Molecular and Medical Pharmacology 194 - Group Seminars and Discussions: Cross-Disciplinary Scholars in Science and Technology Project']","Graduate Student Researcher at University of California, Los Angeles"
"['Programming Essentials', 'Programming in C']",Student at Grantham University
"['Analogy Circuits', 'Analysis and processing of signal and communication', 'Automation Control Theory and Application', 'Big Data Analytics', 'C++', 'Communication Protocols and Internet Architectures', 'Data Structures and Algorithm', 'Digital Circuits', 'Discrete Event Simulation and Modelling', 'Dynamic Programming']",Data Scientist at State Farm
