occupation,courses_list
Front End Software Developer,"['Cloud Computing', 'Database Design', 'Machine Learning', 'User Interface and App developement', 'Web Development Technologies']"
Front End Web Developer,"['Curriculum Development and Evaluation', 'Foundations of Literacy', 'Introduction to Interactive Design', 'Online Communities', 'Principles of Software Design For Learning', 'Transformative Teaching & Learning']"
Front End Software Developer,"['Cloud Computing', 'Database Design', 'Machine Learning', 'User Interface and App developement', 'Web Development Technologies']"
Front End Developer at Upwork,"['C', 'C++']"
Front End Web Developer,"['Curriculum Development and Evaluation', 'Foundations of Literacy', 'Introduction to Interactive Design', 'Online Communities', 'Principles of Software Design For Learning', 'Transformative Teaching & Learning']"
Front End Software Developer,"['Cloud Computing', 'Database Design', 'Machine Learning', 'User Interface and App developement', 'Web Development Technologies']"
Front End Developer at Upwork,"['C', 'C++']"
Front End Web Developer,"['Algorithms', 'Data Structures', 'Game Design in Unity3D', 'Programming Labs']"
Front End Web Developer,"['Curriculum Development and Evaluation', 'Foundations of Literacy', 'Introduction to Interactive Design', 'Online Communities', 'Principles of Software Design For Learning', 'Transformative Teaching & Learning']"
Front End Software Developer,"['Cloud Computing', 'Database Design', 'Machine Learning', 'User Interface and App developement', 'Web Development Technologies']"
Front End Developer at Upwork,"['C', 'C++']"
Front End Web Developer,"['Algorithms', 'Data Structures', 'Game Design in Unity3D', 'Programming Labs']"
Front end developer at Groupon.,"['Color theory', 'Design theory', 'General wording', 'Graphic Production', 'History of art', 'Illustration', 'Marketing', 'Methodology', 'Photography', 'Psychology of design']"
Front End Web Developer,"['Curriculum Development and Evaluation', 'Foundations of Literacy', 'Introduction to Interactive Design', 'Online Communities', 'Principles of Software Design For Learning', 'Transformative Teaching & Learning']"
Front End Software Developer,"['Cloud Computing', 'Database Design', 'Machine Learning', 'User Interface and App developement', 'Web Development Technologies']"
Front End Developer at Upwork,"['C', 'C++']"
Front End Web Developer,"['Algorithms', 'Data Structures', 'Game Design in Unity3D', 'Programming Labs']"
Front end developer at Groupon.,"['Color theory', 'Design theory', 'General wording', 'Graphic Production', 'History of art', 'Illustration', 'Marketing', 'Methodology', 'Photography', 'Psychology of design']"
Front End Developer at Offerpop,"['Algorithm', 'Computer architecture', 'Computer security', 'Data integeration', 'Database', 'Embedded systems', 'Machine learning', 'Networking concepts', 'Probability']"
Front End Web Developer,"['Curriculum Development and Evaluation', 'Foundations of Literacy', 'Introduction to Interactive Design', 'Online Communities', 'Principles of Software Design For Learning', 'Transformative Teaching & Learning']"
Front End Software Developer,"['Cloud Computing', 'Database Design', 'Machine Learning', 'User Interface and App developement', 'Web Development Technologies']"
Front End Developer at Upwork,"['C', 'C++']"
