occupation,courses_list
Working at Epic,"['Analysis of Algorithms', 'Data Intensive Computing', 'Data Mining', 'Database Systems', 'Distributed Systems', 'Information Retrieval', 'Machine Learning with Big Data', 'OS', 'Parallel and Distributed Systems', 'Software Engineering']"
Working at Epic,"['Analysis of Algorithms', 'Data Intensive Computing', 'Data Mining', 'Database Systems', 'Distributed Systems', 'Information Retrieval', 'Machine Learning with Big Data', 'OS', 'Parallel and Distributed Systems', 'Software Engineering']"
Graduate Student of Computer Science | Seeking Full-time Opportunities starting May 2018,"['Android Mobile Application Development', 'Codeacademy: HTML and CSS programming', 'Udemy : Basics of Artificial Intelligence course']"
Working at Epic,"['Analysis of Algorithms', 'Data Intensive Computing', 'Data Mining', 'Database Systems', 'Distributed Systems', 'Information Retrieval', 'Machine Learning with Big Data', 'OS', 'Parallel and Distributed Systems', 'Software Engineering']"
Graduate Student of Computer Science | Seeking Full-time Opportunities starting May 2018,"['Android Mobile Application Development', 'Codeacademy: HTML and CSS programming', 'Udemy : Basics of Artificial Intelligence course']"
"Incoming Grubhub SDE, Former Amazon SDE intern","['C Programming', 'C# Object-Oriented Programming', 'Data-Driven Marketing', 'FORTRAN Programming', 'Game Theory', 'Introduction to Database Systems', 'Machine Learning', 'Natural Language Processing', 'Object-Oriented Design and Data Structures', 'Software Engineering']"
Working at Epic,"['Analysis of Algorithms', 'Data Intensive Computing', 'Data Mining', 'Database Systems', 'Distributed Systems', 'Information Retrieval', 'Machine Learning with Big Data', 'OS', 'Parallel and Distributed Systems', 'Software Engineering']"
Graduate Student of Computer Science | Seeking Full-time Opportunities starting May 2018,"['Android Mobile Application Development', 'Codeacademy: HTML and CSS programming', 'Udemy : Basics of Artificial Intelligence course']"
"Incoming Grubhub SDE, Former Amazon SDE intern","['C Programming', 'C# Object-Oriented Programming', 'Data-Driven Marketing', 'FORTRAN Programming', 'Game Theory', 'Introduction to Database Systems', 'Machine Learning', 'Natural Language Processing', 'Object-Oriented Design and Data Structures', 'Software Engineering']"
Software Engineer at ENFOS,"['(OOP) Object-Oriented Programming With Java', '.Net technology', 'Algorithm Analysis', 'An introduction to Geographic Information System', 'Applied Operating Systems', 'Art of Teamwork', 'Assembly Language Programming', 'C Programming Language', 'Cloud Computing', 'Compiler Techniques']"
Working at Epic,"['Analysis of Algorithms', 'Data Intensive Computing', 'Data Mining', 'Database Systems', 'Distributed Systems', 'Information Retrieval', 'Machine Learning with Big Data', 'OS', 'Parallel and Distributed Systems', 'Software Engineering']"
