occupation,courses_list
Software Engineer at Microsoft,"['Algorithm', 'Algorithms and Advanced Data Structures', 'Cloud Computing', 'Compiler', 'Computer Architecture', 'Computer Network', 'Computer Networks', 'Computer Vision', 'Data Struture', 'Database Applications']"
Software Engineer at Microsoft,"['Algorithm', 'Algorithms and Advanced Data Structures', 'Cloud Computing', 'Compiler', 'Computer Architecture', 'Computer Network', 'Computer Networks', 'Computer Vision', 'Data Struture', 'Database Applications']"
Software Engineer at BrightEdge,"['Computer Vision', 'Data Structure and Algorithm', 'Database Principles and Implementation', 'Introduction to Artificial Intelligence', 'Machine Learning', 'Numerical Analysis', 'Pattern Recognition', 'Regression Analysis', 'TEXT MINING AND BIG DATA ANALYTICS', 'VISUAL INTERACTION AND DATA ANALYTICS']"
Software Engineer at Microsoft,"['Algorithm', 'Algorithms and Advanced Data Structures', 'Cloud Computing', 'Compiler', 'Computer Architecture', 'Computer Network', 'Computer Networks', 'Computer Vision', 'Data Struture', 'Database Applications']"
Software Engineer at BrightEdge,"['Computer Vision', 'Data Structure and Algorithm', 'Database Principles and Implementation', 'Introduction to Artificial Intelligence', 'Machine Learning', 'Numerical Analysis', 'Pattern Recognition', 'Regression Analysis', 'TEXT MINING AND BIG DATA ANALYTICS', 'VISUAL INTERACTION AND DATA ANALYTICS']"
Software Engineer at Amazon,"['Advanced Software Enginee', 'Analysis Of Algorithm', 'Computational Geometry', 'Introduction to AI', 'Introduction to Algorithms', 'Networks Management and Control Standards', 'Operating Systems', 'Principles of Database Management Systems', 'Randomized Algorithms', 'Theory of Computation I']"
Software Engineer at Microsoft,"['Algorithm', 'Algorithms and Advanced Data Structures', 'Cloud Computing', 'Compiler', 'Computer Architecture', 'Computer Network', 'Computer Networks', 'Computer Vision', 'Data Struture', 'Database Applications']"
Software Engineer at BrightEdge,"['Computer Vision', 'Data Structure and Algorithm', 'Database Principles and Implementation', 'Introduction to Artificial Intelligence', 'Machine Learning', 'Numerical Analysis', 'Pattern Recognition', 'Regression Analysis', 'TEXT MINING AND BIG DATA ANALYTICS', 'VISUAL INTERACTION AND DATA ANALYTICS']"
Software Engineer at Amazon,"['Advanced Software Enginee', 'Analysis Of Algorithm', 'Computational Geometry', 'Introduction to AI', 'Introduction to Algorithms', 'Networks Management and Control Standards', 'Operating Systems', 'Principles of Database Management Systems', 'Randomized Algorithms', 'Theory of Computation I']"
Software Engineer,"['Data Structures & Advanced Programming (audit)', 'Integrative Bioinformatics, Genomics, and Proteomics Lab', 'Introduction to Computer Science']"
Software Engineer at Microsoft,"['Algorithm', 'Algorithms and Advanced Data Structures', 'Cloud Computing', 'Compiler', 'Computer Architecture', 'Computer Network', 'Computer Networks', 'Computer Vision', 'Data Struture', 'Database Applications']"
Software Engineer at BrightEdge,"['Computer Vision', 'Data Structure and Algorithm', 'Database Principles and Implementation', 'Introduction to Artificial Intelligence', 'Machine Learning', 'Numerical Analysis', 'Pattern Recognition', 'Regression Analysis', 'TEXT MINING AND BIG DATA ANALYTICS', 'VISUAL INTERACTION AND DATA ANALYTICS']"
Software Engineer at Amazon,"['Advanced Software Enginee', 'Analysis Of Algorithm', 'Computational Geometry', 'Introduction to AI', 'Introduction to Algorithms', 'Networks Management and Control Standards', 'Operating Systems', 'Principles of Database Management Systems', 'Randomized Algorithms', 'Theory of Computation I']"
Software Engineer,"['Data Structures & Advanced Programming (audit)', 'Integrative Bioinformatics, Genomics, and Proteomics Lab', 'Introduction to Computer Science']"
Software Engineer at Google,"['Adv. Heat Transfer', 'Algorithms, Part I - Princeton MOOC', 'Algorithms, Part II - Princeton MOOC', 'An Introduction to Interactive Programming in Python', 'Computer Graphics', 'Computer-aided ship design and manufacturing', 'Database SQL', 'Electrical and Electronic Technology', 'Electrical and Electronic Technology II', 'Energy Conversion and Supply']"
Software Engineer at Microsoft,"['Algorithm', 'Algorithms and Advanced Data Structures', 'Cloud Computing', 'Compiler', 'Computer Architecture', 'Computer Network', 'Computer Networks', 'Computer Vision', 'Data Struture', 'Database Applications']"
Software Engineer at BrightEdge,"['Computer Vision', 'Data Structure and Algorithm', 'Database Principles and Implementation', 'Introduction to Artificial Intelligence', 'Machine Learning', 'Numerical Analysis', 'Pattern Recognition', 'Regression Analysis', 'TEXT MINING AND BIG DATA ANALYTICS', 'VISUAL INTERACTION AND DATA ANALYTICS']"
Software Engineer at Amazon,"['Advanced Software Enginee', 'Analysis Of Algorithm', 'Computational Geometry', 'Introduction to AI', 'Introduction to Algorithms', 'Networks Management and Control Standards', 'Operating Systems', 'Principles of Database Management Systems', 'Randomized Algorithms', 'Theory of Computation I']"
Software Engineer,"['Data Structures & Advanced Programming (audit)', 'Integrative Bioinformatics, Genomics, and Proteomics Lab', 'Introduction to Computer Science']"
Software Engineer at Google,"['Adv. Heat Transfer', 'Algorithms, Part I - Princeton MOOC', 'Algorithms, Part II - Princeton MOOC', 'An Introduction to Interactive Programming in Python', 'Computer Graphics', 'Computer-aided ship design and manufacturing', 'Database SQL', 'Electrical and Electronic Technology', 'Electrical and Electronic Technology II', 'Energy Conversion and Supply']"
Software Engineer at Google,"['Advanced Software Development Methods', 'Algorithms', 'Cloud Computing', 'Computer Architecture', 'Data & Information Engineering', 'Human Machine Interface', 'Information Retrieval', 'Internet Scale Application', 'Operating Systems', 'Program and Data Representation']"
Software Engineer at Microsoft,"['Algorithm', 'Algorithms and Advanced Data Structures', 'Cloud Computing', 'Compiler', 'Computer Architecture', 'Computer Network', 'Computer Networks', 'Computer Vision', 'Data Struture', 'Database Applications']"
